Id	MallType	MallSubType	PosIndex	Discount	Price	IapID	Items	AmountPerUser	AmountPerRound	AmountPerDay	BestDeal	TeSell	ExpiredDate	Valid	Icon	Name	Description	Label	DisplayIds	GiftIds	Multiple
120030007	4	0	0	100	1:8;		120030007:1:12;	1	0	0				TRUE	0			0			0
120030008	4	0	0	100	1:8;		120030008:1:12;	1	0	0				TRUE	0			0			0
120040001	4	0	0	100	1:8;		120040001:1:12;	1	0	0				TRUE	0			0			0
120040002	4	0	0	100	1:8;		120040002:1:12;	1	0	0				TRUE	0			0			0
150020000	4	0	1	100	$		150020000:1:15	1	0	0				TRUE	0			0			0
150030000	4	0	3	100	$		150030000:1:15	1	0	0				TRUE	0			0			0
150040000	4	0	4	100	$		150040000:1:15	1	0	0				TRUE	0			0			0
150050000	4	0	2	100	$		150050000:1:15	1	0	0				TRUE	0			0			0
160010000	2	5	5	100	0:300;		160010000:1:16	0	0	0				TRUE	0			0			0
160020000	2	5	1	100	0:300;		160020000:1:16	0	0	0				TRUE	0			0			0
160030000	2	5	2	100	0:300;		160030000:1:16	0	0	0				TRUE	0			0			0
160050000	2	5	3	100	0:400;		160050000:1:16	0	0	0				TRUE	0			0			0
160060000	2	6	0	100	0:300;		160060000:1:16	0	0	0				TRUE	0			0			0
160070000	2	6	0	100	0:300;		160070000:1:16	0	0	0				TRUE	0			0			0
160080000	2	6	0	100	0:300;		160080000:1:16	0	0	0				TRUE	0			0			0
160090000	2	6	0	100	0:300;		160090000:1:16	0	0	0				TRUE	0			0			0
160100000	2	6	0	100	0:300;		160100000:1:16	0	0	0				TRUE	0			0			0
160110000	2	6	0	100	0:300;		160110000:1:16	0	0	0				TRUE	0			0			0
160130000	2	6	0	100	0:300;		160130000:1:16	0	0	0				TRUE	0			0			0
160140000	2	6	0	100	0:300;		160140000:1:16	0	0	0				TRUE	0			0			0
160150000	2	5	0	100	3:8;		160150000:1:16	0	0	0				TRUE	0			0			0
