RoleLevelID	GoldBonus	ScoreBonus	Price
150030054	54	54	3:120;
150030055	55	55	3:120;
150030056	56	56	3:120;
150030057	57	57	3:120;
150030058	58	58	3:120;
150030059	59	59	3:120;
150030060	60	60	3:120;
150040001	1	1	3:1000;
150040002	2	2	0:200;
150040003	3	3	0:400;
150040004	4	4	0:600;
150040005	5	5	0:800;
150040006	6	6	0:1000;
150040007	7	7	0:1200;
150040008	8	8	0:1400;
150040009	9	9	0:1600;
150040010	10	10	0:1800;
150040011	11	11	0:2000;
150040012	12	12	0:2200;
150040013	13	13	0:2400;
150040014	14	14	0:2600;
150040015	15	15	0:2800;
150040016	16	16	0:3000;
150040017	17	17	0:3200;
150040018	18	18	0:3400;
150040019	19	19	0:3600;
150040020	20	20	0:3800;
150040021	21	21	0:4000;
150040022	22	22	0:4200;
150040023	23	23	0:4400;
150040024	24	24	0:4600;
150040025	25	25	0:4800;
150040026	26	26	0:5000;
150040027	27	27	0:5200;
150040028	28	28	0:5400;
150040029	29	29	0:5600;
150040030	30	30	0:5800;
150040031	31	31	0:6000;
150040032	32	32	0:6200;
150040033	33	33	0:6400;
150040034	34	34	0:6600;
150040035	35	35	0:6800;
150040036	36	36	0:7000;
150040037	37	37	0:7200;
150040038	38	38	0:7400;
150040039	39	39	0:7600;
150040040	40	40	0:7800;
150040041	41	41	0:8000;
150040042	42	42	0:8200;
150040043	43	43	0:8400;
150040044	44	44	0:8600;
150040045	45	45	0:8800;
150040046	46	46	3:120;
150040047	47	47	3:120;
150040048	48	48	3:120;
150040049	49	49	3:120;
150040050	50	50	3:120;
150040051	51	51	3:120;
150040052	52	52	3:120;
150040053	53	53	3:120;
150040054	54	54	3:120;
150040055	55	55	3:120;
150040056	56	56	3:120;
150040057	57	57	3:120;
150040058	58	58	3:120;
150040059	59	59	3:120;
150040060	60	60	3:120;
150050001	1	1	3:500;
150050002	2	2	0:200;
150050003	3	3	0:400;
150050004	4	4	0:600;
150050005	5	5	0:800;
150050006	6	6	0:1000;
150050007	7	7	0:1200;
150050008	8	8	0:1400;
150050009	9	9	0:1600;
150050010	10	10	0:1800;
150050011	11	11	0:2000;
150050012	12	12	0:2200;
150050013	13	13	0:2400;
150050014	14	14	0:2600;
150050015	15	15	0:2800;
150050016	16	16	0:3000;
150050017	17	17	0:3200;
150050018	18	18	0:3400;
150050019	19	19	0:3600;
150050020	20	20	0:3800;
150050021	21	21	0:4000;
150050022	22	22	0:4200;
150050023	23	23	0:4400;
150050024	24	24	0:4600;
150050025	25	25	0:4800;
150050026	26	26	0:5000;
150050027	27	27	0:5200;
150050028	28	28	0:5400;
150050029	29	29	0:5600;
150050030	30	30	0:5800;
150050031	31	31	0:6000;
150050032	32	32	0:6200;
150050033	33	33	0:6400;
150050034	34	34	0:6600;
150050035	35	35	0:6800;
150050036	36	36	0:7000;
150050037	37	37	0:7200;
150050038	38	38	0:7400;
150050039	39	39	0:7600;
150050040	40	40	0:7800;
150050041	41	41	0:8000;
150050042	42	42	0:8200;
150050043	43	43	0:8400;
150050044	44	44	0:8600;
150050045	45	45	0:8800;
150050046	46	46	3:120;
150050047	47	47	3:120;
150050048	48	48	3:120;
150050049	49	49	3:120;
150050050	50	50	3:120;
