Id	Type	Items	ResolveValue	LottoValue	Valid
140310000	14	20010000:1:2;50010000:5:5;160030000:2:16;10010000:5000:1	#	0	TRUE
140320000	14	40010000:20:4;160150000:5:16	#	0	TRUE
140330000	14	10010000:1888:1;40010000:10:4;160150000:2:16	#	0	TRUE
140340000	14	10010000:888:1;50010000:3:5;160030000:2:16	#	0	TRUE
140350000	14	10010000:888:1;50010000:3:5;160020000:2:16	#	0	TRUE
140360000	14	10010000:1888:1;40010000:10:4;160150000:2:16	#	0	TRUE
140370000	14	10010000:888:1;50010000:3:5;160050000:2:16	#	0	TRUE
140380000	14	10010000:888:1;50010000:3:5;160020000:2:16	#	0	TRUE
140390000	14	10010000:1888:1;40010000:10:4;160150000:2:16	#	0	TRUE
140400000	14	40010000:100:4;50010000:10:5;160150000:3:16	#	0	TRUE
140410000	14	10010000:3000:1;160150000:2:16;50010000:5:5	#	0	TRUE
140420000	14	40010000:100:4	#	0	TRUE
141010000	14	160020000:5:16	#	3	TRUE
141020000	14	160050000:4:16	#	4	TRUE
141030000	14	160030000:10:16	#	7	TRUE
141040000	14	160050000:8:16	#	8	TRUE
141050000	14	160030000:5:16	#	3	TRUE
141060000	14	160020000:10:16	#	7	TRUE
141070000	14	160030000:15:16	#	12	FALSE
141080000	14	160020000:15:16	#	13	FALSE
141090000	14	160050000:12:16	#	14	FALSE
142010000	14	10010000:3000:1	#	9	TRUE
142020000	14	10010000:4500:1	#	11	TRUE
142030000	14	10010000:6000:1	#	16	TRUE
142040000	14	10010000:29999:1	#	80	TRUE
142050000	14	10010000:8888:1	#	20	TRUE
142060000	14	10010000:12999:1	#	35	TRUE
142070000	14	10010000:1500:1	#	3	TRUE
142080000	14	10010000:19999:1	#	55	TRUE
143010000	14	40010000:30:4	#	15	TRUE
143020000	14	40010000:40:4	#	20	TRUE
143030000	14	40010000:50:4	#	25	TRUE
143040000	14	40010000:400:4	#	200	TRUE
144010000	14	50010000:30:5	#	13	TRUE
144020000	14	50010000:10:5	#	3	TRUE
144030000	14	50010000:20:5	#	10	TRUE
145010000	14	20010000:2:2	#	12	TRUE
145020000	14	20010000:3:2	#	18	TRUE
145030000	14	20010000:4:2	#	24	TRUE
145040000	14	20010000:5:2	#	30	TRUE
145050000	14	20010000:15:2	#	90	TRUE
146010000	14	150050000:1:15	#	350	TRUE
146020000	14	150040000:1:15	#	400	TRUE
146030000	14	150030000:1:15	#	400	TRUE
147010001	14	120010001:1:12;	#	90	TRUE
147010002	14	120010002:1:12;	#	90	TRUE
147010003	14	120010003:1:12;	#	90	TRUE
147010004	14	120010004:1:12;	#	90	TRUE
147010005	14	120010005:1:12;	#	90	TRUE
147010006	14	120010006:1:12;	#	90	TRUE
147020001	14	120020001:1:12;	#	90	TRUE
147020002	14	120020002:1:12;	#	90	TRUE
147020003	14	120020003:1:12;	#	90	TRUE
147020004	14	120020004:1:12;	#	90	TRUE
147020005	14	120020005:1:12;	#	90	TRUE
147020006	14	120020006:1:12;	#	90	TRUE
147020007	14	120020007:1:12;	#	90	TRUE
147020008	14	120020008:1:12;	#	90	TRUE
147030001	14	120030001:1:12;	#	90	TRUE
147030002	14	120030002:1:12;	#	90	TRUE
147030003	14	120030003:1:12;	#	90	TRUE
147030004	14	120030004:1:12;	#	90	TRUE
147030005	14	120030005:1:12;	#	90	TRUE
147030006	14	120030006:1:12;	#	90	TRUE
147030007	14	120030007:1:12;	#	90	TRUE
147030008	14	120030008:1:12;	#	90	TRUE
147040001	14	120040001:1:12;	#	90	TRUE
147040002	14	120040002:1:12;	#	90	TRUE
150010000	15	#	#	0	TRUE
150020000	15	#	1:8	0	TRUE
150030000	15	#	1:32	0	TRUE
150040000	15	#	1:32	0	TRUE
150050000	15	#	1:18	0	TRUE
160010000	16	#	#	0	TRUE
160020000	16	#	#	0	TRUE
160030000	16	#	#	0	TRUE
160050000	16	#	#	0	TRUE
160060000	16	150010000:1:15;150020000:1:15;150030000:1:15;150040000:1:15;150050000:1:15	#	0	TRUE
160070000	16	#	#	0	TRUE
160080000	16	#	#	0	TRUE
160090000	16	#	#	0	TRUE
160100000	16	#	#	0	TRUE
160110000	16	#	#	0	TRUE
160130000	16	#	#	0	TRUE
160140000	16	#	#	0	TRUE
160150000	16	#	#	0	TRUE
170010000	17	#	#	0	TRUE
