TipId	TipDesc
90093	累计拾取@4005@个无敌道具
90094	累计拾取@4003@个闪电道具
90095	累计拾取@4003@个闪电道具
90096	累计拾取@4003@个闪电道具
90097	单局消灭5个红头钻
90098	单局消灭10个红头钻
90099	单局消灭15个红头钻
90100	消灭@3002@只红头钻
90101	消灭@3002@只红头钻
90102	消灭@3002@只红头钻
90103	单局内摧毁5个地刺
90104	单局内摧毁10个地刺
90105	单局内摧毁15个地刺
90106	累计摧毁@3003@个地刺
90107	累计摧毁@3003@个地刺
90108	累计摧毁@3003@个地刺
90109	单局击杀5只蓝怪
90110	单局击杀10只蓝怪
90111	单局击杀15只蓝怪
90112	击杀@3001@只蓝怪
90113	击杀@3001@只蓝怪
90114	击杀@3001@只蓝怪
90115	击杀@3006@只任意怪物
90116	击杀@3006@只任意怪物
90117	击杀@3006@只任意怪物
90118	击杀@3006@只任意怪物
90119	击杀@3006@只任意怪物
90120	使用@7002@次主动技能
90121	使用@7002@次主动技能
90122	使用@7002@次主动技能
90123	使用@7003@次冲锋技能
90124	使用@7003@次冲锋技能
90125	使用@7003@次冲锋技能
90126	使用@7004@次爆炸技能
90127	使用@7004@次爆炸技能
90128	使用@7004@次爆炸技能
90129	成功完成@5005@局游戏
90130	成功完成@5005@局游戏
90131	成功完成@5005@局游戏
90132	累计击杀@3004@个小飞机
90133	累计击杀@3004@个小飞机
90134	累计击杀@3004@个小飞机
90135	累计击杀@3005@个炸弹怪
90136	累计击杀@3005@个炸弹怪
90137	累计击杀@3005@个炸弹怪
90138	累计逃脱@3007@次小飞机的追捕
90139	累计逃脱@3007@次小飞机的追捕
90140	累计逃脱@3007@次小飞机的追捕
90141	累计激活@3008@个炸弹怪
90142	累计激活@3008@个炸弹怪
90143	累计激活@3008@个炸弹怪
90144	摆脱@6001@次吓人盒子
90145	摆脱@6001@次吓人盒子
90146	摆脱@6001@次吓人盒子
90147	累计使用@6004@次传送装置
90148	累计使用@6004@次传送装置
90149	累计使用@6004@次传送装置
90150	累计使用@6004@次传送装置
90151	累计使用@6004@次传送装置
90152	破坏@7005@个箱子
90153	破坏@7005@个箱子
90154	破坏@7005@个箱子
90155	破坏@7005@个箱子
90156	破坏@7005@个箱子
90157	单局破坏10个箱子
90158	单局破坏20个箱子
90159	单局破坏30个箱子
90160	获得@4007@个QTE道具
90161	获得@4007@个QTE道具
90162	获得@4007@个QTE道具
90163	激活@6002@次墙边激光
90164	激活@6002@次墙边激光
90165	激活@6002@次墙边激光
90166	激活@6002@次墙边激光
90167	激活@6002@次墙边激光
90168	激活@6003@次激光门开关
90169	激活@6003@次激光门开关
90170	激活@6003@次激光门开关
90171	激活@6003@次激光门开关
90172	激活@6003@次激光门开关
90173	完成记忆点28
90174	完成记忆点30
90175	完成记忆点35
90176	完成记忆点38
90177	完成记忆点40
90178	完成记忆点45
90179	完成记忆点48
90180	完成记忆点50
90181	完成记忆点55
90182	完成记忆点58
90183	完成记忆点60
90184	完成记忆点65
90185	完成记忆点70
90186	完成记忆点75
90187	完成记忆点80
90188	完成记忆点85
90189	完成记忆点90
90190	完成记忆点95
90191	完成记忆点100
90192	累计总分达到@1006@分
90193	累计总分达到@1006@分
90194	累计总分达到@1006@分
90195	累计总分达到@1006@分
90196	累计总分达到@1006@分
90197	累计总分达到@1006@分
90198	游戏中开启@4011@个宝箱
90199	游戏中开启@4011@个宝箱
90200	游戏中开启@4011@个宝箱
91001	累计拾取@1003@个Charge
91002	打破@7005@个桶
91004	收集@4009@个大星星
