Id	NameID	IconResName	Type	DescriptionID	Items	ResolveValue
120030016	120030016	icon_PingTu	12		#	1:2
120040000	120040000	icon_PingTu	12		#	#
120040001	120040001	icon_PingTu	12		#	1:2
120040002	120040002	icon_PingTu	12		#	1:2
120040003	120040003	icon_PingTu	12		#	1:2
120040004	120040004	icon_PingTu	12		#	1:2
121010000	121010000	icon_PingTu	12		#	#
121010001	121010001	icon_PingTu	12		#	1:2
121010002	121010002	icon_PingTu	12		#	1:2
121010003	121010003	icon_PingTu	12		#	1:2
121010004	121010004	icon_PingTu	12		#	1:2
121020000	121010000	icon_PingTu	12		#	#
121020001	121020001	icon_PingTu	12		#	1:2
121020002	121020002	icon_PingTu	12		#	1:2
121020003	121020003	icon_PingTu	12		#	1:2
121020004	121020004	icon_PingTu	12		#	1:2
121030000	121010000	icon_PingTu	12		#	#
121030001	121030001	icon_PingTu	12		#	1:2
121030002	121030002	icon_PingTu	12		#	1:2
121030003	121030003	icon_PingTu	12		#	1:2
121030004	121030004	icon_PingTu	12		#	1:2
121040000	121010000	icon_PingTu	12		#	#
121040001	121040001	icon_PingTu	12		#	1:2
121040002	121040002	icon_PingTu	12		#	1:2
121040003	121040003	icon_PingTu	12		#	1:2
121040004	121040004	icon_PingTu	12		#	1:2
121050000	121010000	icon_PingTu	12		#	#
121050001	121050001	icon_PingTu	12		#	1:2
121050002	121050002	icon_PingTu	12		#	1:2
121050003	121050003	icon_PingTu	12		#	1:2
121050004	121050004	icon_PingTu	12		#	1:2
121060000	121010000	icon_PingTu	12		#	#
121060001	121060001	icon_PingTu	12		#	1:2
121060002	121060002	icon_PingTu	12		#	1:2
121060003	121060003	icon_PingTu	12		#	1:2
121060004	121060004	icon_PingTu	12		#	1:2
121070000	121010000	icon_PingTu	12		#	#
121070001	121070001	icon_PingTu	12		#	1:2
121070002	121070002	icon_PingTu	12		#	1:2
121070003	121070003	icon_PingTu	12		#	1:2
121070004	121070004	icon_PingTu	12		#	1:2
121080000	121010000	icon_PingTu	12		#	#
121080001	121080001	icon_PingTu	12		#	1:2
121080002	121080002	icon_PingTu	12		#	1:2
121080003	121080003	icon_PingTu	12		#	1:2
121080004	121080004	icon_PingTu	12		#	1:2
121090000	121010000	icon_PingTu	12		#	#
121090001	121090001	icon_PingTu	12		#	1:2
121090002	121090002	icon_PingTu	12		#	1:2
121090003	121090003	icon_PingTu	12		#	1:2
121090004	121090004	icon_PingTu	12		#	1:2
140160000	140160000	icon_LiBao1	14		40010000:100:4	#
140170000	140160000	icon_LiBao1	14		120070002:1:12	#
140180000	140160000	icon_LiBao1	14		120090003:1:12	#
140190000	140160000	icon_LiBao1	14		120110001:1:12	#
140200000	140160000	icon_LiBao1	14		120120001:1:12	#
140210000	140160000	icon_LiBao1	14		120010001:1:12	#
140220000	140160000	icon_LiBao1	14		120020003:1:12	#
140230000	140160000	icon_LiBao1	14		120030004:1:12	#
140240000	140160000	icon_LiBao1	14		120080001:1:12	#
140250000	140160000	icon_LiBao1	14		120100001:1:12	#
140260000	140260000	icon_LiBao1	14		120060004:1:12	#
141010000	141010000	icon_LiBao1	14		160020000:5:16	#
141020000	141020000	icon_LiBao1	14		160050000:5:16	#
141030000	141030000	icon_LiBao1	14		160030000:10:16	#
141040000	141040000	icon_LiBao1	14		160050000:10:16	#
142010000	142010000	icon_LiBao1	14		10010000:3000:1	#
142020000	142020000	icon_LiBao1	14		10010000:4500:1	#
142030000	142030000	icon_LiBao1	14		10010000:6000:1	#
142040000	142040000	icon_LiBao1	14		10010000:29999:1	#
143010000	143010000	icon_LiBao1	14		40010000:30:4	#
143020000	143020000	icon_LiBao1	14		40010000:40:4	#
143030000	143030000	icon_LiBao1	14		40010000:50:4	#
143040000	143040000	icon_LiBao1	14		40010000:400:4	#
144010000	144010000	icon_LiBao1	14		50010000:30:5	#
145010000	145010000	icon_LiBao1	14		20010000:2:2	#
145020000	145020000	icon_LiBao1	14		20010000:5:2	#
145030000	145030000	icon_LiBao1	14		20010000:6:2	#
145040000	145040000	icon_LiBao1	14		20010000:8:2	#
145050000	145050000	icon_LiBao1	14		20010000:15:2	#
146010000	146010000	icon_LiBao1	14		150050000:1:15	#
146020000	146020000	icon_LiBao1	14		150040000:1:15	#
146030000	146030000	icon_LiBao1	14	0	150030000:1:15	#
147010001	147010001	icon_LiBao1	14		120010001:1:12;	#
147010002	147010001	icon_LiBao1	14		120010002:1:12;	#
147010003	147010001	icon_LiBao1	14		120010003:1:12;	#
147010004	147010001	icon_LiBao1	14		120010004:1:12;	#
147010005	147010001	icon_LiBao1	14		120010005:1:12;	#
147010006	147010001	icon_LiBao1	14		120010006:1:12;	#
147010007	147010001	icon_LiBao1	14		120010007:1:12;	#
147010008	147010001	icon_LiBao1	14		120010008:1:12;	#
147010009	147010001	icon_LiBao1	14		120010009:1:12;	#
147020001	147020001	icon_LiBao1	14		120020001:1:12;	#
147020002	147020001	icon_LiBao1	14		120020002:1:12;	#
147020003	147020001	icon_LiBao1	14		120020003:1:12;	#
147020004	147020001	icon_LiBao1	14		120020004:1:12;	#
147020005	147020001	icon_LiBao1	14		120020005:1:12;	#
147020006	147020001	icon_LiBao1	14		120020006:1:12;	#
147020007	147020001	icon_LiBao1	14		120020007:1:12;	#
147020008	147020001	icon_LiBao1	14		120020008:1:12;	#
147020009	147020001	icon_LiBao1	14		120020009:1:12;	#
147020010	147020001	icon_LiBao1	14		120020010:1:12;	#
147020011	147020001	icon_LiBao1	14		120020011:1:12;	#
147020012	147020001	icon_LiBao1	14		120020012:1:12;	#
147020013	147020001	icon_LiBao1	14		120020013:1:12;	#
147020014	147020001	icon_LiBao1	14		120020014:1:12;	#
147020015	147020001	icon_LiBao1	14		120020015:1:12;	#
147020016	147020001	icon_LiBao1	14		120020016:1:12;	#
147030001	147030001	icon_LiBao1	14		120030001:1:12;	#
147030002	147030001	icon_LiBao1	14		120030002:1:12;	#
147030003	147030001	icon_LiBao1	14		120030003:1:12;	#
147030004	147030001	icon_LiBao1	14		120030004:1:12;	#
147030005	147030001	icon_LiBao1	14		120030005:1:12;	#
147030006	147030001	icon_LiBao1	14		120030006:1:12;	#
147030007	147030001	icon_LiBao1	14		120030007:1:12;	#
147030008	147030001	icon_LiBao1	14		120030008:1:12;	#
147030009	147030001	icon_LiBao1	14		120030009:1:12;	#
147030010	147030001	icon_LiBao1	14		120030010:1:12;	#
147030011	147030001	icon_LiBao1	14		120030011:1:12;	#
147030012	147030001	icon_LiBao1	14		120030012:1:12;	#
147030013	147030001	icon_LiBao1	14		120030013:1:12;	#
147030014	147030001	icon_LiBao1	14		120030014:1:12;	#
147030015	147030001	icon_LiBao1	14		120030015:1:12;	#
147030016	147030001	icon_LiBao1	14		120030016:1:12;	#
150010000	150010000	icon_Role_Default	15		#	#
150020000	150020000	icon_Role_ErJi	15		#	1:8
150030000	150030000	icon_Role_ACong	15		#	1:32
150040000	150040000	icon_Role_ZhaDan	15		#	1:32
150050000	150050000	icon_Role_CiTie	15		#	1:18
160010000	160010000	icon_SuiJiDaoJu	16	160010001	#	#
160020000	160020000	icon_ChuShiShengMing	16	160020001	#	#
160030000	160030000	icon_KaiJuHuDun	16	160030001	#	#
160050000	160050000	icon_SiWangChongCi	16	160050001	#	#
160060000	160060000		16	160060001	150010000:1:15;150020000:1:15;150030000:1:15;150040000:1:15;150050000:1:15	#
160070000	160070000		16	160070001	#	#
160080000	160080000		16	160080001	#	#
160090000	160090000		16	160090001	#	#
160100000	160100000		16	160100001	#	#
160110000	160110000		16	160110001	#	#
160130000	160130000		16	160130001	#	#
160140000	160140000	icon_JinBi_X2	16	160140001	#	#
170010000	170010000		17		#	#
